address,varies,10gbaser_refclk0_156M25_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaprx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptrx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptx,jesd204b_refclk0_100M_qpll0_lane0123,usb3_mclk_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk0_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk1_125M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_cpll_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane1,usb3_refclk0_100M_qpll0_lane3,usb3_refclk0_50M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane1,usb3_refclk1_100M_qpll0_lane2,usb3_refclk1_100M_qpll0_lane3,usb3_refclk1_100M_qpll1_lane3,usb3_refin_100M_qpll0_lane0
0x00800200,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00800201,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,0x00000000,0x00000000,,,,,0x00000000
0x00800202,no,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000
0x00800224,no,0x00000041,0x00000041,0x00000041,0x00000041,0x00000041,0x00000041,0x00000041,0x00000041,0x00000041,0x00000041,0x00000041,0x00000041,,,0x00000041,0x00000041,,,,,0x00000041
0x00800225,no,0x00004100,0x00004100,0x00004100,0x00004100,0x00004100,0x00004100,0x00004100,0x00004100,0x00004100,0x00004100,0x00004100,0x00004100,,,0x00004100,0x00004100,,,,,0x00004100
0x00800226,no,0x00410000,0x00410000,0x00410000,0x00410000,0x00410000,0x00410000,0x00410000,0x00410000,0x00410000,0x00410000,0x00410000,0x00410000,,,0x00410000,0x00410000,,,,,0x00410000
0x00800227,no,0x41000000,0x41000000,0x41000000,0x41000000,0x41000000,0x41000000,0x41000000,0x41000000,0x41000000,0x41000000,0x41000000,0x41000000,,,0x41000000,0x41000000,,,,,0x41000000
0x00800232,no,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,,,0x00fa0000,0x00fa0000,,,,,0x00fa0000
0x00800233,no,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,,,0xfa000000,0xfa000000,,,,,0xfa000000
0x00800256,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,0x00000000,0x00000000,,,,,0x00000000
0x00800258,yes,0x00000088,0x00000080,0x00000080,0x00000080,0x00000080,0x00000080,0x00000088,0x00000088,0x00000088,0x00000088,0x00000088,0x00000088,,,0x00000088,0x00000088,,,,,0x00000088
0x0080025b,yes,0xfc000000,0x0c000000,0x8f000000,0x0c000000,0x0c000000,0x8f000000,0x79000000,0x79000000,0x79000000,0x79000000,0x79000000,0x79000000,,,0x79000000,0x79000000,,,,,0x79000000
0x0080025c,yes,0x00000071,0x00000072,0x00000071,0x00000072,0x00000072,0x00000071,0x00000072,0x00000072,0x00000072,0x00000072,0x00000072,0x00000072,,,0x00000072,0x00000072,,,,,0x00000072
0x0080032d,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,0x00000000,0x00000000,,,,,0x00000000
0x00800331,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00800333,no,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000
0x0080033e,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,0x00000000,0x00000000,,,,,0x00000000
0x00800379,no,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,,,0x0000fa00,0x0000fa00,,,,,0x0000fa00
0x0080037a,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,0x00000000,0x00000000,,,,,0x00000000
0x0080037b,no,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,,,0xfa000000,0xfa000000,,,,,0xfa000000
0x0080037c,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,0x00000000,0x00000000,,,,,0x00000000
0x00800385,no,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,,,0x0000fa00,0x0000fa00,,,,,0x0000fa00
0x00800386,no,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,,,0x00fa0000,0x00fa0000,,,,,0x00fa0000
0x008003a6,yes,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00010000,0x00020000,0x00010000
0x008003a7,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,0x00000000,0x00000000,,,,,0x00000000
0x008003a9,yes,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000,0x0000a000,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000,0x00008000
0x00800400,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00800401,no,,,,,,0x00000000,,,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,0x00000000,,,,
0x00800402,no,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000,0x00110000
0x00800424,no,,,,,,0x00000041,,,0x00000041,0x00000041,0x00000041,0x00000041,0x00000041,,,,0x00000041,,,,
0x00800425,no,,,,,,0x00004100,,,0x00004100,0x00004100,0x00004100,0x00004100,0x00004100,,,,0x00004100,,,,
0x00800426,no,,,,,,0x00410000,,,0x00410000,0x00410000,0x00410000,0x00410000,0x00410000,,,,0x00410000,,,,
0x00800427,no,,,,,,0x41000000,,,0x41000000,0x41000000,0x41000000,0x41000000,0x41000000,,,,0x41000000,,,,
0x00800432,no,,,,,,0x00fa0000,,,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,0x00fa0000,,,,0x00fa0000,,,,
0x00800433,no,,,,,,0xfa000000,,,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,,,,0xfa000000,,,,
0x00800456,no,,,,,,0x00000000,,,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,0x00000000,,,,
0x00800458,yes,,,,,,0x00000080,,,0x00000080,0x00000080,0x00000088,0x00000088,0x00000088,,,,0x00000088,,,,
0x0080045b,yes,,,,,,0x8f000000,,,0x79000000,0x79000000,0x79000000,0x79000000,0x79000000,,,,0x79000000,,,,
0x0080045c,yes,,,,,,0x00000071,,,0x00000072,0x00000072,0x00000072,0x00000072,0x00000072,,,,0x00000072,,,,
0x0080052d,no,,,,,,0x00000000,,,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,0x00000000,,,,
0x00800531,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00800533,no,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000,0x48000000
0x0080053e,no,,,,,,0x00000000,,,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,0x00000000,,,,
0x00800579,no,,,,,,0x0000fa00,,,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,,,,0x0000fa00,,,,
0x0080057a,no,,,,,,0x00000000,,,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,0x00000000,,,,
0x0080057b,no,,,,,,0xfa000000,,,0xfa000000,0xfa000000,0xfa000000,0xfa000000,0xfa000000,,,,0xfa000000,,,,
0x0080057c,no,,,,,,0x00000000,,,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,0x00000000,,,,
0x00800585,no,,,,,,0x0000fa00,,,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,0x0000fa00,,,,0x0000fa00,,,,
