port,varies,10gbaser_refclk0_156M25_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaprx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptrx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptx,jesd204b_refclk0_100M_qpll0_lane0123,usb3_mclk_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk0_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk1_125M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_cpll_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane1,usb3_refclk0_100M_qpll0_lane3,usb3_refclk0_50M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane1,usb3_refclk1_100M_qpll0_lane2,usb3_refclk1_100M_qpll0_lane3,usb3_refclk1_100M_qpll1_lane3,usb3_refin_100M_qpll0_lane0
AHB_RSTN,yes,0,0,0,0,0,0,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o
CKN_MIPI_0,no,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0
CKN_MIPI_1,no,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1
CKP_MIPI_0,no,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0
CKP_MIPI_1,no,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1
CK_AHB_I,yes,0,0,0,0,0,0,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o
CLK_VIQ_I,yes,0:2,0:2,0:2,0:2,0:2,0:2,"{mclk_i,gw_gnd}",0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,"{gw_gnd,gpio_refclk_i}"
FABRIC_BURN_IN_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CK_SOC_DIV_I,no,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2
FABRIC_CLK_MON_O,no,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o
